Quantity,Link,Description,Pitt User ID,Unit Price,Extended Price
1,https://www.amazon.com/HiLetgo-FT232RL-Converter-Adapter-Breakout/dp/B00IJXZQ7C/ref=pd_lpo_1?pd_rd_w=FBzOJ&content-id=amzn1.sym.116f529c-aa4d-4763-b2b6-4d614ec7dc00&pf_rd_p=116f529c-aa4d-4763-b2b6-4d614ec7dc00&pf_rd_r=GBGF75YBWCRBETNEF6QJ&pd_rd_wg=kdYLz&pd_rd_r=09267945-9145-4e8e-aac0-23d5c586ea38&pd_rd_i=B00IJXZQ7C&psc=1,Serial Programmer,ahf12,6.49,6.49
1,https://www.amazon.com/KeeYees-Channels-Converter-Bi-Directional-Shifter/dp/B07LG646VS/ref=sr_1_3?crid=1KJCLALKLIN05&keywords=bss138&qid=1668722682&s=electronics&sprefix=%2Celectronics%2C50&sr=1-3,BSS138 Chip,ahf12,7.99,7.99
1,https://www.amazon.com/uxcell-Crystal-Oscillators-Resonators-Replacements/dp/B07Y7GH8MD,Crystal Oscillator,ahf12,9.99,9.99
1,https://www.amazon.com/Elegoo-EL-CP-004-Multicolored-Breadboard-arduino/dp/B01EV70C78/ref=sr_1_8?crid=20R7669I23RTI&keywords=jumper+wires&qid=1668727254&sprefix=jumper+wires%2Caps%2C133&sr=8-8,Jumper Wires,ahf12,6.98,6.98
